3,4,4,4,4,5,4,4,4,5,5,5,2,3,4,5,4,4,4,3,3,3,4,2,4,5,3,4,5,4,4,1,22,3,1,2,5,2,1,2,1,2,3,2,5,3,1,4
3,3,4,4,2,4,3,4,3,5,4,2,4,2,3,5,3,3,3,2,3,4,2,2,4,4,2,3,3,3,2,1,19,2,3,1,4,2,2,4,1,2,1,1,4,2,1,4
4,4,3,4,4,2,5,5,4,3,4,5,3,2,5,3,3,5,2,5,4,4,5,1,5,4,4,5,5,4,1,0,20,1,1,1,5,2,1,2,3,1,3,1,5,3,1,5
4,5,5,3,4,5,4,5,4,5,5,5,4,2,4,1,3,3,4,5,4,4,4,4,4,5,5,4,4,3,2,1,19,4,2,2,4,3,4,3,2,4,4,2,4,3,4,5
1,2,1,4,4,5,3,2,4,4,4,5,4,2,4,3,2,3,3,4,3,5,4,3,3,3,5,3,4,4,4,0,25,3,3,1,4,3,3,4,4,2,1,1,5,4,2,5
3,4,3,4,5,3,3,5,3,4,5,3,2,2,3,3,3,3,4,3,3,1,4,3,3,4,3,3,3,2,2,1,22,4,2,2,3,2,2,1,1,4,4,1,1,1,3,4
3,1,1,1,1,1,5,5,1,5,5,5,1,1,5,3,2,5,2,2,4,3,4,1,3,4,3,4,5,5,1,1,20,5,3,1,5,4,3,1,2,4,1,2,2,3,3,5
5,2,3,5,5,4,5,4,3,4,5,4,2,4,4,5,3,5,3,3,3,1,5,2,5,4,5,3,5,1,2,1,27,3,5,2,5,4,4,5,4,5,3,3,4,3,4,5
5,1,5,4,4,5,3,2,3,1,3,2,2,4,4,5,4,3,2,3,4,3,4,1,4,4,4,3,3,3,1,0,20,5,4,3,5,4,4,3,2,3,2,3,3,5,3,5
3,1,1,5,3,3,5,4,5,5,4,5,3,1,3,3,1,5,2,3,2,5,3,2,3,5,3,3,2,3,1,1,19,1,1,1,5,3,1,1,5,2,4,1,3,2,5,5
3,3,3,5,5,5,4,5,3,5,5,4,3,4,2,5,2,3,4,4,1,4,2,3,1,5,2,4,3,3,2,1,18,5,3,3,5,3,2,5,3,3,1,1,1,4,4,5
5,2,2,5,4,5,5,5,5,5,5,3,3,1,1,5,1,2,5,3,1,5,3,2,3,3,1,3,5,3,3,0,21,3,5,3,4,3,2,3,3,2,1,5,5,4,1,5
3,5,3,4,5,4,5,5,3,5,5,4,3,1,2,1,3,4,3,5,1,4,1,2,1,5,3,4,2,1,1,1,23,4,4,3,5,2,5,4,3,4,5,3,4,3,3,5
2,1,3,4,4,3,2,3,1,4,5,3,3,1,1,5,2,3,4,4,3,2,3,3,4,5,5,4,5,3,3,1,21,1,1,1,5,2,2,5,1,1,1,2,5,5,2,3
4,1,2,5,3,2,4,3,4,4,3,3,3,3,3,5,3,4,2,4,1,2,5,5,3,3,2,3,1,5,2,1,26,1,1,2,5,4,3,2,2,1,1,1,1,3,1,2
3,4,4,3,4,1,3,4,1,1,1,2,1,1,3,1,3,5,2,3,5,5,3,3,2,3,5,3,4,1,1,0,20,4,5,5,5,5,1,3,1,1,2,4,5,3,1,5
3,2,3,5,5,5,3,5,4,5,5,1,2,3,3,5,5,4,1,3,2,1,2,2,4,4,4,4,4,2,4,1,19,5,1,5,5,5,5,4,3,2,1,2,1,4,2,5
3,5,5,5,5,5,3,4,4,3,3,5,3,3,4,3,2,4,3,3,4,2,4,4,5,3,3,3,4,5,5,1,20,4,2,1,5,3,5,1,2,5,2,2,3,3,3,5
5,5,3,4,5,5,5,5,5,5,5,5,4,3,5,5,2,1,3,4,3,1,4,3,5,2,4,3,4,5,3,1,25,5,5,3,4,3,4,1,4,3,3,1,2,4,4,5
3,5,3,4,4,5,3,4,4,2,2,4,5,1,4,3,1,2,4,4,2,3,5,5,4,5,3,4,3,4,3,1,19,3,1,2,5,3,4,3,1,1,1,1,2,2,4,5
3,4,4,5,5,2,5,4,4,4,4,5,5,2,2,5,3,4,3,4,4,1,5,3,5,3,5,4,3,3,3,1,20,4,3,2,4,2,4,3,2,2,5,2,4,3,4,3
2,3,3,3,3,4,3,4,3,4,3,4,2,1,4,5,2,3,4,3,2,3,2,4,3,5,3,3,3,3,5,1,20,2,2,1,5,3,3,1,1,1,1,1,1,3,2,5
3,4,2,3,4,3,5,4,2,4,4,3,4,2,3,1,2,5,4,4,2,4,3,3,4,4,4,3,4,4,2,1,19,4,1,4,4,2,1,5,1,3,1,1,4,4,2,4
3,4,5,5,5,5,3,5,5,5,1,4,3,3,3,3,2,4,3,4,3,4,5,4,4,3,3,3,4,2,2,1,19,4,4,5,5,5,2,5,2,3,5,2,5,5,2,4
1,1,3,3,4,4,5,5,3,4,4,3,4,3,5,5,2,4,3,4,3,3,4,3,3,3,3,3,4,5,1,1,21,4,3,3,4,2,2,2,2,4,5,5,5,4,4,5
3,5,2,5,5,5,5,5,5,3,5,5,3,1,5,3,1,4,2,1,5,1,5,2,2,2,5,3,5,1,2,1,18,3,4,1,3,2,2,4,3,5,5,4,5,3,5,5
2,2,4,5,5,3,5,5,4,5,4,3,3,3,5,3,3,5,2,4,5,5,3,1,5,3,3,3,5,4,3,1,21,3,4,1,3,1,1,3,2,5,4,4,4,3,5,5
3,2,3,4,4,4,5,4,2,5,5,2,4,2,4,5,1,3,4,2,1,3,4,5,3,4,3,3,3,4,3,1,23,5,2,2,5,4,3,3,3,3,4,2,3,4,2,4
2,3,5,5,5,5,5,5,4,5,5,4,4,3,5,1,3,2,3,4,3,4,3,3,4,3,3,3,5,5,3,1,20,4,4,4,4,4,4,2,4,5,2,1,1,3,4,5
